Agent1	Agent2	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	predicted	groundtruth
xxx	TUR	0.277965	-1.064353	1.445801	0.851413	-1.301147	1.233656	0.520871	0.402474	-0.001266	-1.213457	1.211645	-0.847491	-2.062549	1.169698	-1.313984	-1.73853	Nego	Acq1
RUS	TUR	0.394781	-0.923881	1.482451	0.724632	-1.238807	1.211997	0.296715	0.139252	-0.001266	-1.153778	1.151892	-0.76881	-1.986812	1.085977	-1.251242	-1.667759	Nego	War1
RUS	TUR	0.394781	-0.923881	1.482451	0.724632	-1.238807	1.211997	0.296715	0.139252	-0.001266	-1.153778	1.151892	-0.76881	-1.986812	1.085977	-1.251242	-1.667759	Nego	Acq1
GBR	RUS	0.051091	-0.945592	1.028966	-0.02184	-1.477765	1.005064	-0.311828	-0.577915	0.550161	-0.597173	1.457642	-0.03139	-1.321828	1.443574	-0.407785	-0.770112	SQ	Acq1
xxx	ITA	0.578993	-0.835875	1.622586	0.978687	-1.097786	1.195237	0.420383	0.289428	0.06344	-1.143146	1.23534	-0.915602	-2.047479	1.179949	-1.423159	-1.875326	Nego	Nego
GRC	TUR	-0.728099	-1.464579	0.22664	-0.673956	-1.997092	0.567016	-0.599836	-0.866093	-0.202981	-1.197309	0.874248	0.552684	-1.352537	1.489326	1.090148	1.012534	War1	Acq1
GBR	RUS	0.040547	-1.221126	1.27758	-0.280708	-1.844764	1.26232	-0.607787	-0.919606	0.483404	-0.980179	1.609203	-0.161669	-1.664076	1.596386	-0.516434	-0.858383	SQ	Acq1
GRC	TUR	-0.742986	-1.495959	0.248783	-0.819594	-2.1083	0.536808	-0.83774	-1.143911	0.364812	-0.906421	1.435771	0.878493	-1.144351	2.001978	1.325736	1.206771	War1	Cap2
TUR	GRC	0.056449	-1.058556	1.145245	0.778344	-1.225042	1.098194	0.64805	0.564808	0.211958	-0.965178	1.284841	-0.692567	-1.844019	1.278001	-1.138827	-1.578248	Nego	Acq1
GBR	TUR	-0.310054	-0.310969	-0.309139	-0.310922	-1.285313	-0.301184	-0.790139	-1.277311	0.455281	0.454221	0.456341	0.456286	0.428521	0.758427	0.745522	0.732672	Acq1	Nego
TUR	FRA	-0.474945	-1.324521	0.535605	-0.879098	-2.085063	0.649334	-1.14564	-1.52591	0.070069	-1.020707	1.129933	0.86546	-1.143681	1.546472	1.220513	1.159026	War1	Acq1
TUR	GRC	-0.455898	-1.31464	0.559095	0.051857	-1.58535	0.891577	0.248984	0.113629	0.135272	-0.980971	1.190325	-0.178006	-1.611162	1.358921	-0.324507	-0.639603	War1	War1
xxx	ROU	0.617031	0.286267	0.922312	0.626905	-0.178177	0.591857	0.064228	-0.167994	0.799042	0.468798	1.094651	0.691626	-0.175162	0.874963	0.149958	-0.172022	Nego	Acq1
GBR	RUS	0.02663	-1.190834	1.229007	-0.269146	-1.809947	1.218864	-0.588845	-0.898402	0.424942	-0.968822	1.544067	-0.040142	-1.599256	1.534225	-0.365201	-0.680417	SQ	Nego
DEU	FRA	0.481327	-0.872799	1.545247	0.134731	-1.456128	1.344692	-0.357489	-0.649153	-0.003543	-1.15816	1.15289	-0.349413	-1.808212	0.984451	-0.842878	-1.167904	SQ	Acq1
GRC	TUR	-0.776601	-1.497498	0.17666	-0.23356	-1.742528	0.762971	0.230235	0.107719	-0.133321	-1.174445	0.965918	0.066233	-1.594787	1.416081	0.306225	0.096054	War1	War1
GBR	GRC	0.011858	-1.106379	1.124454	0.649201	-1.319417	1.115123	0.53335	0.426831	0.10479	-1.05306	1.210959	-0.630504	-1.86642	1.208746	-1.039397	-1.446077	Nego	Cap2
DEU	GRC	0.493341	-0.865011	1.553284	0.869957	-1.147577	1.199345	0.374735	0.233452	0.10479	-1.098724	1.252279	-0.735611	-1.944274	1.176082	-1.234582	-1.657357	Nego	Cap2
xxx	GRC	0.630249	-0.797882	1.651209	0.909746	-1.100632	1.211768	0.31893	0.167555	0.10479	-1.117901	1.26957	-0.769877	-1.97213	1.177698	-1.288864	-1.715978	Nego	Cap2
ITA	GRC	0.566149	-0.763554	1.57156	1.065494	-0.980273	1.128107	0.513681	0.405322	0.10479	-1.055873	1.213509	-0.807433	-1.946398	1.151531	-1.314675	-1.759937	Nego	Cap2
RUS	GRC	0.426334	-0.854519	1.473215	1.114805	-1.008493	1.112526	0.677128	0.600141	0.10479	-1.05306	1.210959	-0.857465	-1.966668	1.174127	-1.351101	-1.807905	Nego	Cap2
DEU	GBR	0.631383	-0.422009	1.45142	0.106411	-1.139949	1.273331	-0.430647	-0.789617	0.258359	-0.711078	1.142673	-0.033643	-1.345638	0.911941	-0.581656	-0.898936	SQ	Acq1
DEU	FRA	0.631383	-0.772441	1.639973	0.324901	-1.317568	1.352773	-0.234862	-0.507425	-0.125563	-1.222624	1.03265	-0.526672	-1.914035	0.837812	-1.067215	-1.412921	SQ	Acq1
DEU	FRA	0.631383	-0.772441	1.639973	0.324901	-1.317568	1.352773	-0.234862	-0.507425	-0.125563	-1.222624	1.03265	-0.526672	-1.914035	0.837812	-1.067215	-1.412921	SQ	Cap2
RUS	TUR	0.283382	-1.03021	1.426971	1.052092	-1.182775	1.186823	0.735662	0.65938	-0.265147	-1.318938	0.916605	-0.97894	-2.166851	0.873506	-1.445995	-1.869951	Nego	Acq1
FRA	GBR	-0.101386	-1.207796	1.054703	-0.469134	-1.881315	1.087803	-0.772792	-1.109552	0.178014	-1.054651	1.313387	0.458464	-1.415677	1.378171	0.342734	0.162221	Nego	Nego
FRA	ITA	-0.101386	-1.22606	1.074785	-0.502393	-1.911538	1.106673	-0.813244	-1.155983	0.774944	-0.693925	1.728833	0.209868	-1.320882	1.766654	-0.065789	-0.379268	SQ	Nego
DEU	GBR	0.595689	-0.451356	1.424622	0.119065	-1.14729	1.243494	-0.410031	-0.757998	0.178014	-0.768881	1.067972	-0.056605	-1.381112	0.836982	-0.593711	-0.899826	SQ	Cap2
GRC	TUR	-0.792656	-1.50492	0.153898	-0.208241	-1.723231	0.773508	0.302214	0.193059	-0.230028	-1.226623	0.862399	0.0177	-1.630974	1.334543	0.287669	0.085493	War1	Acq1
GBR	PRT	0.172686	-0.167175	0.505382	0.406148	-0.314724	0.358175	0.185167	0.111393	-0.087085	-0.404653	0.233694	-0.313517	-1.261885	0.20904	-0.766788	-1.195404	Nego	Acq1
ITA	TUR	0.698287	-0.871828	1.739841	0.714859	-1.26429	1.315605	0.094392	-0.101839	-0.225218	-1.364245	1.040424	-0.851411	-2.150979	0.891503	-1.393699	-1.787066	Nego	Acq1
ITA	GBR	0.763761	-0.131226	1.448723	0.301266	-0.857488	1.239652	-0.270935	-0.634066	0.157922	-0.639364	0.919311	0.026506	-1.212161	0.59303	-0.586173	-0.872572	SQ	Acq1
