"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
44,"GERMANY","LITHUANIA",255,368,1939,0,0,1,1,0.31012798857651147,0.003713405297024561,0.6780399033284011,0.0003927605024269344,0.0006046774153702141,0.002804135999226406,0.004317128881039228,"ACQ2","CAP2",0,1.,-0.646296,0.949255,-0.712952,0.788696,0.842903,0.172026,0.649015,0.615688,0.941307,-0.652467,0.932724,-1.602575,-0.57295,0.163939,-1.531641,-1.056587
45,"GERMANY","UNITED KINGDOM",255,200,1887,0,0,1,1,0.19150587293723803,0.23082221856993484,0.2619469680845519,0.06195049424849773,0.14043246234593804,0.034694581176830344,0.07864740263700909,"ACQ2","ACQ2",1,1.,-0.422009,1.45142,-1.139949,1.273331,0.106411,0.631383,-0.430647,-0.789617,1.142673,-0.711078,0.911941,-1.345638,-0.033643,0.258359,-0.898936,-0.581656
46,"GREECE","BULGARIA",350,355,1928,0,0,1,1,0.25543678564692773,0.01286484640695872,0.6966140225852976,0.0014492556822605816,0.002417396173370488,0.011700670603062218,0.019517022902122656,"ACQ2","CAP2",0,1.,-0.737769,1.487278,-0.894891,1.063802,1.137675,0.502417,0.635637,0.557076,1.309611,-0.892308,1.26424,-1.802003,-0.693464,0.273429,-1.64853,-1.193682
47,"FRANCE","AUSTRIA",220,305,1937,0,0,1,1,0.257533568935748,0.011014676594253989,0.7014507968994649,0.00019257815594141242,0.00032107973129944455,0.011055237226480063,0.018432062456812205,"ACQ2","SQ",0,1.,-0.828848,1.264842,-1.117194,1.067689,0.661133,0.277036,0.319806,0.175633,1.334699,-0.771671,1.291814,-1.616872,-0.445607,0.360482,-1.333693,-0.911093
48,"ITALY","NORWAY",325,385,1923,0,0,1,1,0.24194740850312976,0.015359386819616374,0.6983596992032535,0.001965932866099706,0.0032938246790779704,0.014604544904431133,0.02446920302439156,"ACQ2","SQ",0,1.,-0.968,1.138493,-1.119919,1.046787,0.818477,0.108133,0.650812,0.574853,1.31076,-0.842059,1.303401,-1.773997,-0.695535,0.303155,-1.634833,-1.168864
49,"FRANCE","TURKEY",220,640,1934,0,0,1,1,0.29045951677887616,0.006779809684643075,0.6867312211853509,0.0007075675514887241,0.0011172314223388384,0.005507867964678942,0.00869678541262338,"ACQ2","CAP1",0,1.,-0.745223,0.997865,-0.855374,0.866704,0.805861,0.147397,0.619624,0.564548,1.110077,-0.657981,1.100853,-1.595401,-0.547335,0.265783,-1.49398,-1.02527
50,"UNITED STATES","SWITZERLAND",2,225,1959,0,0,1,1,0.10767700581820291,0.07731557620760367,0.47438420246949964,2.4946587512613346e-6,8.604045028023932e-6,0.07655948071602363,0.26405263608489077,"ACQ2","CAP1",0,0.9999999999999999,-1.462409,0.504285,-1.576083,1.032494,0.280724,-0.595953,0.752096,0.69526,0.913077,-1.303964,1.142826,-1.918449,-0.449262,-0.256102,-0.833999,-0.526756
51,"UNITED KINGDOM","ITALY",200,325,1939,0,0,1,1,0.12365077558235738,0.18670396741671302,0.2747667719874819,0.030253476532778177,0.10014884597854364,0.0659987701188806,0.21847739238324532,"ACQ2","WAR",0,1.,-1.107265,1.339881,-1.693426,1.271809,-0.094543,0.16449,-0.455696,-0.748776,1.25859,-1.158264,1.180693,-1.684696,-0.013719,0.06997,-0.618048,-0.354832
52,"UNITED STATES","GERMANY",2,255,1915,0,0,1,1,0.4868841037276663,0.0698054468061168,0.38772204481745426,0.014085429078640412,0.03178595693208165,0.0029837419093889117,0.006733276728651669,"SQ","CAP1",0,1.,-0.911424,1.470965,-1.750129,1.407747,-0.527157,0.391944,-1.009728,-1.429081,1.31706,-1.030531,1.085631,-1.440068,0.355635,0.195919,-0.28533,-0.080561
53,"GREECE","UNITED KINGDOM",350,200,1863,0,0,1,1,0.5067351663635594,0.09045891821868816,0.3417916014761347,0.03278403467801107,0.027753523972700908,0.0002581861961127667,0.0002185690947930283,"SQ","SQ",1,1.,-0.928189,1.378769,-1.896693,1.369142,-0.855528,0.305658,-1.349407,-1.833659,1.19571,-1.057622,0.905121,-1.10692,1.084627,0.091315,0.74474,0.769388
54,"ROMANIA","HUNGARY",360,310,1939,0,0,1,1,0.14864836355043032,0.25172917628664115,0.22262212182924623,0.05366506410111488,0.15258581507573798,0.04442783811372149,0.12632162104310796,"ACQ1","NEGO",0,1.,-0.795964,1.511837,-1.494004,1.363007,-0.099101,0.492882,-0.596951,-0.945971,1.348202,-0.937021,1.163146,-1.561565,-0.07902,0.27651,-0.88862,-0.576348
55,"SWITZERLAND","GERMANY",225,255,1939,0,0,1,1,0.5169597809745028,0.08029916437478067,0.3485940713368747,0.02306024306842725,0.02906159890794432,0.0008959823697549709,0.0011291589677152659,"SQ","ACQ2",0,1.,-1.092432,1.184542,-2.01563,1.179832,-0.917554,0.06132,-1.383862,-1.845461,1.283308,-1.028498,1.228218,-1.130089,1.048449,0.172026,0.891768,0.942563
56,"GERMANY","SWEDEN",255,380,1914,0,0,1,1,0.22292737653270378,0.02061208434220387,0.6924371222300199,0.00165344273800397,0.0029878377399764756,0.02115471424142957,0.0382274221756625,"ACQ2","CAP1",0,1.,-0.967157,1.364046,-1.163164,1.146265,0.907114,0.270874,0.59133,0.493326,1.033308,-1.175996,0.99019,-2.016818,-0.824324,-0.092998,-1.708263,-1.287852
57,"SWEDEN","RUSSIAN FEDERATION",380,365,1915,0,0,1,1,0.5410899395237879,0.0796743272008927,0.3305612951368734,0.01959592619041697,0.02907535485841629,1.2711006099462853e-6,1.8859890028066713e-6,"SQ","ACQ2",0,1.,-1.20364,0.995403,-2.141122,1.003866,-1.066162,-0.135367,-1.52644,-1.995182,1.606219,-0.756074,1.725835,-0.872431,1.33135,0.604571,1.334609,1.392788
58,"NORWAY","UNITED KINGDOM",385,200,1914,0,0,1,1,0.5264341193010548,0.05462635540055875,0.3795544003472478,0.015566200733161917,0.023216372663995316,0.00024184672701585666,0.00036070482696564553,"SQ","CAP1",0,1.,-1.103248,1.14991,-1.938044,1.144818,-0.731018,0.030823,-1.153508,-1.570907,1.170893,-1.090562,1.145626,-1.270845,0.76319,0.053216,0.55764,0.647782
59,"GREECE","UNITED KINGDOM",350,200,1854,0,0,1,1,0.5540039591287762,0.050057553816580974,0.3631277356674968,0.013779436523238705,0.01667630992916197,0.0010655014173090566,0.0012895035174363468,"SQ","CAP2",0,1.,-1.046462,1.183724,-2.01889,1.181239,-0.984971,0.090134,-1.47367,-1.959884,1.700215,-0.566004,1.616454,-0.636703,1.539994,0.801467,1.385532,1.420882
60,"UNITED KINGDOM","NORWAY",200,385,1940,0,0,1,1,0.21958073208613232,0.023125751282020823,0.6851364762838552,0.0012705725258914601,0.0023997697828255565,0.023708229259996223,0.0447784687792784,"ACQ2","ACQ2",1,1.,-1.082425,1.09008,-1.271843,1.086078,0.678568,0.004938,0.579857,0.485148,1.168266,-1.034072,1.16741,-1.860864,-0.652608,0.087392,-1.480255,-1.066859
61,"GERMANY","NETHERLANDS",255,210,1939,0,0,1,1,0.21599600248389977,0.022341350062644746,0.6902656479710714,0.0032020998802789287,0.005746856272444914,0.02234504993173912,0.040102993397921075,"ACQ2","WAR",0,1.,-1.028498,1.283308,-1.158905,1.133716,0.981833,0.172026,0.767037,0.701833,1.131637,-1.124048,1.113956,-2.021266,-0.892203,0.005015,-1.807101,-1.358493
62,"SWITZERLAND","LIECHTENSTEIN",225,223,1992,0,0,1,1,0.2392855915360554,0.018021210819520714,0.6906765755946178,0.0038882376890327732,0.006592631799965812,0.015409110734447444,0.026126641826359938,"ACQ2","ACQ2",1,0.9999999999999999,-0.951381,1.133381,-0.953521,1.018846,1.12892,0.11478,1.013315,1.012245,1.228139,-0.884223,1.22802,-1.883185,-0.882031,0.21915,-1.881112,-1.381631
63,"GERMANY","NETHERLANDS",255,210,1927,0,0,1,1,0.22084437130904266,0.022031232809800676,0.6884456832037177,0.004743443604258836,0.008277919842544064,0.02027495033961917,0.035382398891016895,"ACQ2","SQ",0,1.,-1.060836,1.119792,-1.099271,1.083133,1.03598,0.038124,0.980103,0.960886,1.264567,-0.965138,1.263586,-1.939415,-0.907785,0.197202,-1.883044,-1.395905
64,"TURKEY","UNITED KINGDOM",640,200,1906,0,0,1,1,0.2923719851916763,0.18620329849408795,0.3185496297733993,0.017448150300500852,0.07128636224781267,0.022443825217641645,0.09169674877488125,"ACQ2","CAP2",0,1.,-1.349,0.641363,-2.073707,0.76217,-0.801068,-0.438832,-1.042615,-1.404969,1.073004,-1.144875,1.450217,-1.285291,0.761577,-0.046954,0.998373,1.068581
65,"RUSSIAN FEDERATION","LITHUANIA",365,368,1918,0,0,1,1,0.2735505963681261,0.007452697176721319,0.6999276604782412,0.0010298302173614212,0.001640246953494545,0.006324968354614759,0.010074000451440732,"ACQ2","WAR",0,1.0000000000000002,-0.62054,1.548351,-0.743105,1.00618,1.28252,0.617905,0.679066,0.617783,1.228325,-0.907351,1.213243,-1.882944,-0.855225,0.205757,-1.845899,-1.358103
66,"FRANCE","HUNGARY",220,310,1919,0,0,1,1,0.2430835431960869,0.014882790799821596,0.6992236929099328,0.0021005946945628884,0.003472625779284129,0.014034852086693961,0.023201900533617655,"ACQ2","WAR",0,1.,-0.939905,1.186012,-1.087811,1.052147,0.871576,0.157101,0.663758,0.589805,1.385934,-0.783942,1.378096,-1.734049,-0.67568,0.393348,-1.633624,-1.158571
