"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
348,"FRANCE","DOMINICAN REPUBLIC",220,42,1895,0,0,1,1,0.23732683420868497,0.016888928855586762,0.6962377541865797,0.00034081718709547815,0.0006112256150315363,0.017396087963925874,0.031198351983095667,"ACQ2","ACQ2",1,1.,-0.925198,1.28507,-1.192793,1.11223,0.693613,0.235991,0.386975,0.253177,1.189626,-0.992581,1.145595,-1.806006,-0.585435,0.127691,-1.44289,-1.036178
349,"PAKISTAN","INDIA",770,750,1957,0,0,1,1,0.1645174381071373,0.06365903300978946,0.5564922142107478,0.0014463297168826944,0.003942082831936966,0.056351783654044044,0.15359111846946186,"ACQ2","ACQ2",1,1.0000000000000002,-1.167282,1.019527,-1.492464,1.084092,0.308416,-0.095677,0.21039,0.047799,1.127448,-1.106554,1.161586,-1.749751,-0.309455,0.01372,-0.918514,-0.596916
350,"UNITED STATES","HAITI",2,41,1911,0,0,1,1,0.23152427151561455,0.019857560560227527,0.6894821099072224,0.004416848781893253,0.007586981196229528,0.01734245856368758,0.02978976947512518,"ACQ2","ACQ2",1,1.,-1.14424,0.865644,-1.150986,1.036717,0.852085,-0.172236,1.019786,1.016413,0.790703,-1.182898,0.793692,-2.165545,-1.148651,-0.240614,-2.128309,-1.636985
351,"GERMANY","None",255,240,1864,0,0,1,1,0.08201238333683472,0.4365142806100348,0.07615187134696698,0.08612695785696214,0.09722701712005163,0.10426490418827744,0.11770258554087232,"ACQ1","ACQ2",0,1.,0.117028,0.119075,0.053111,0.008569,0.118944,0.118051,-0.02352,-0.055479,0.656034,0.653919,0.6485,-0.282259,0.654054,0.654977,-0.289658,0.178431
352,"UNITED KINGDOM","VENEZUELA",200,101,1881,0,0,1,1,0.22305695461272015,0.02282283585522601,0.6841219322254753,0.001163109850214748,0.0021828381213818437,0.02316951173400422,0.04348281760097767,"ACQ2","ACQ2",1,1.,-1.024934,1.159611,-1.220787,1.089444,0.731761,0.087256,0.563669,0.465742,1.032371,-1.10228,1.016035,-1.915055,-0.70262,-0.044606,-1.531732,-1.125344
353,"None","HUNGARY",345,310,1938,0,0,1,1,0.3070876799781681,0.0015006805052274381,0.6880492704146572,1.8247527249366973e-7,2.68637307585408e-7,0.0013598975694794316,0.002002020419887676,"ACQ2","ACQ2",1,0.9999999999999999,-0.411277,1.409669,-0.764604,1.019505,0.766279,0.603341,0.199451,0.022788,1.209512,-0.604887,1.123742,-1.462729,-0.346955,0.360087,-1.290566,-0.861646
354,"ITALY","GERMANY",325,255,1934,0,0,1,1,0.39842782624437284,0.19084308787544857,0.27770910279359623,0.0656905650187822,0.06550093293281484,0.0009155640687169182,0.0009129210662684248,"SQ","ACQ2",0,0.9999999999999999,-0.155701,0.687569,-1.013926,0.648571,-0.036146,0.275063,-0.504256,-0.933368,1.072908,0.222324,0.862666,-0.013338,0.872458,0.673092,0.426555,0.544386
355,"RUSSIAN FEDERATION","IRAN, ISLAMIC REPUBLIC OF",365,630,1909,0,0,1,1,0.2533856870939242,0.013950443134994935,0.6944311563568686,0.0022187658904330838,0.0037041286876015583,0.012103528606712271,0.020206290229465372,"ACQ2","ACQ2",1,1.,-0.729685,1.543768,-0.820539,1.036834,1.337216,0.557594,0.784855,0.739428,0.724679,-1.271038,0.686084,-2.201821,-1.1329,-0.337905,-2.102278,-1.636887
356,"BRAZIL","PERU",140,135,1932,0,0,1,1,0.2241282712822342,0.0252103033798006,0.6747630117293422,0.0021037468703003414,0.0040059281727668015,0.024030384481102,0.045758354084453855,"ACQ2","ACQ2",1,1.,-1.122168,0.897183,-1.233522,1.021028,0.672321,-0.139364,0.740489,0.684812,0.982626,-1.074124,1.005481,-1.910123,-0.736815,-0.057189,-1.549958,-1.131959
357,"CHINA","JAPAN",710,740,1978,0,0,1,1,0.15600057205293102,0.13559893366218093,0.37898172042509903,0.02173024012602942,0.05788881701046421,0.06817724327613647,0.18162247344715893,"ACQ2","ACQ2",1,1.,-0.907361,1.316817,-1.426228,1.186886,0.162765,0.270051,-0.226599,-0.486032,0.803672,-1.216802,0.663354,-1.697204,-0.166967,-0.256492,-0.787687,-0.547486
