RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
48,UNITED KINGDOM,EGYPT,200,651,1974,0,0,1,1,0.053956213,0.321789213,0.089641577,0.02644668,0.111391641,0.076128124,0.320646552,ACQ1,SQ,0,1,-1.691083,1.971085,-2.478509,1.821421,-0.912602,0.704059,-1.45598,-1.849693,1.478416,-1.869324,0.974915,-2.154184,0.52478,-0.510651,-0.26358,-0.12115
49,RUSSIAN FEDERATION,HONDURAS,365,91,1928,0,0,1,1,0.094553439,0.125186137,0.335744284,0.032057843,0.070061979,0.107486355,0.234909963,ACQ2,SQ,0,1,-1.038333,1.113788,-1.225959,1.074461,0.709993,0.048409,0.576853,0.483039,0.35719,-1.400509,0.343672,-2.121273,-0.909697,-0.618358,-1.643979,-1.283597
50,UNITED STATES,LATVIA,2,367,1934,0,0,1,1,0.101814489,0.107226699,0.385240191,0.03421153,0.065861911,0.104489155,0.201156027,ACQ2,SQ,0,1,-1.016501,1.13299,-1.078791,1.062933,0.999098,0.074711,0.897897,0.866751,1.107774,-1.032504,1.10407,-1.982914,-0.926367,0.048133,-1.880482,-1.405277
51,UNITED KINGDOM,DENMARK,200,390,1889,0,0,1,1,0.092998379,0.107443694,0.37096798,0.032877737,0.06790402,0.106939904,0.220868284,ACQ2,SQ,0,1,-1.05771,1.30888,-1.183285,1.157879,1.011696,0.172686,0.797908,0.735121,1.175432,-1.14143,1.158224,-2.041777,-0.910549,0.022911,-1.828105,-1.377931
52,TUNISIA,GERMANY,616,255,1856,0,0,1,1,0.08561812,0.366304124,0.103835091,0.027356984,0.110047401,0.061090991,0.245747289,ACQ1,SQ,0,1,-1.24657,0.921925,-2.077336,0.957374,-0.879587,-0.209463,-1.259521,-1.674904,0.802995,-1.301101,0.992696,-1.395446,0.604483,-0.316651,0.699838,0.747011
53,CUBA,CHINA,40,710,1972,0,0,1,1,0.105404516,0.408898288,0.099541899,0.032502055,0.106246402,0.057955461,0.189451378,ACQ1,SQ,0,1,-1.074638,0.958228,-2.064431,0.958967,-1.053888,-0.072321,-1.548047,-2.042943,1.390764,-0.768407,1.462089,-0.782183,1.361018,0.405694,1.418566,1.425455
54,UNITED STATES,TOGO,2,461,1967,0,0,1,1,0.101456752,0.181371671,0.257265157,0.036173804,0.083863646,0.102420983,0.237447987,ACQ2,SQ,0,1,-0.845198,1.363313,-1.257533,1.162685,0.452668,0.341398,0.045873,-0.160294,0.539422,-1.318605,0.37796,-1.845662,-0.439865,-0.468734,-1.128384,-0.864855
55,GUATEMALA,UNITED KINGDOM,90,200,1887,0,0,1,1,0.099656077,0.392470976,0.102844632,0.031999066,0.107104872,0.061172471,0.204751906,ACQ1,SQ,0,1,-1.076612,1.065729,-2.018843,1.066131,-0.952852,-0.00696,-1.423566,-1.894681,1.291212,-0.927004,1.297651,-1.001836,1.125219,0.23944,1.056826,1.094242
56,TURKEY,JAPAN,640,740,1939,0,0,1,1,0.082640606,0.323331683,0.120921578,0.023843338,0.11054774,0.060094,0.278621053,ACQ1,SQ,0,1,-1.427884,1.677518,-2.2504,1.632931,-0.876725,0.251218,-1.33257,-1.743828,1.748968,-1.375656,1.620583,-1.864606,0.221185,0.389378,-0.39615,-0.151675
57,NORWAY,FRANCE,385,220,1975,0,0,1,1,0.282775087,0.249806974,0.248176117,0.073670057,0.033880389,0.076506517,0.035184858,SQ,SQ,1,1,0.82136,0.823438,-0.131855,0.784962,0.821458,0.822399,0.306374,-0.170233,0.832828,0.830754,0.049027,0.78382,0.832731,0.831791,0.001996,0.025463
