RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
25,"IRAN, ISLAMIC REPUBLIC OF",UNITED KINGDOM,630,200,1977,0,0,1,1,0.389163972,0.021239469,0.559083369,0.004457209,0.006319463,0.008162982,0.011573536,ACQ2,SQ,0,1,-0.08225,0.698139,-0.640202,0.558003,0.26272,0.317015,-0.156392,-0.435368,1.087709,0.306771,0.975449,-0.339113,0.583314,0.720692,-0.174831,0.148111
26,BANGLADESH,INDIA,771,750,1975,0,0,1,1,0.128283208,0.349086926,0.140445811,0.169290181,0.166775041,0.023231995,0.022886838,ACQ1,SQ,0,1,0.003089,0.440195,-0.835079,0.404008,0.073827,0.22361,-0.381445,-0.800529,0.055438,-0.34959,-0.131333,-0.514338,-0.01129,-0.148175,-0.362808,-0.280434
27,BOLIVIA,BRAZIL,145,140,1908,0,0,1,1,0.514469474,0.090303795,0.336212096,0.025212865,0.032280894,0.000666953,0.000853923,SQ,SQ,1,1,-1.120338,0.915481,-2.045606,0.925002,-0.968198,-0.127405,-1.421311,-1.883945,0.927622,-1.113661,1.049398,-1.157844,0.837431,-0.11585,0.915024,0.937116
28,RUSSIAN FEDERATION,ROMANIA,365,360,1906,0,0,1,1,0.210720718,0.145370674,0.381039495,0.034572451,0.085435686,0.041155993,0.101704982,ACQ2,SQ,0,1,-0.72834,1.131882,-1.366946,1.044499,-0.056066,0.241795,-0.462752,-0.782055,1.542424,-0.324061,1.480868,-1.069479,0.151113,0.75426,-0.655861,-0.283153
29,RUSSIAN FEDERATION,IRELAND,365,205,1945,0,0,1,1,0.277023735,0.005934168,0.702004352,0.000247345,0.000398038,0.005515923,0.008876438,ACQ2,SQ,0,1,-0.614083,1.6828,-0.883629,1.128778,1.063685,0.758463,0.374889,0.240116,1.16416,-1.075691,1.053182,-1.929371,-0.747957,0.058228,-1.712615,-1.285775
30,RUSSIAN FEDERATION,"TANZANIA, UNITED REPUBLIC OF",365,510,1973,0,0,1,1,0.113980436,0.176865594,0.277912264,0.023539024,0.060402488,0.097390522,0.249909672,ACQ2,SQ,0,1,-0.937278,1.155338,-1.425983,1.084841,0.132666,0.13788,-0.182184,-0.426536,0.116495,-1.444344,0.013499,-1.697348,-0.278403,-0.762123,-0.634404,-0.507902
31,PANAMA,UNITED KINGDOM,95,200,1957,0,0,1,1,0.534761687,0.008166231,0.450197218,0.000610252,0.003480944,0.000415218,0.00236845,SQ,SQ,1,1,-1.645143,1.826696,-2.505619,1.789508,-1.160737,0.26653,-1.628162,-2.0584,1.940955,-1.530817,1.846278,-2.175596,-0.297571,0.698784,-1.037027,-0.714637
32,None,DENMARK,300,390,1875,0,0,1,1,0.234676504,0.017409365,0.696262245,0.003229103,0.005555851,0.015756682,0.027110249,ACQ2,SQ,0,1,-0.854722,1.608098,-0.94595,1.105045,1.383419,0.553553,0.834752,0.789138,1.408042,-1.030904,1.390266,-1.998792,-0.952585,0.267271,-1.938249,-1.454305
33,URUGUAY,CHINA,165,710,1971,0,0,1,1,0.049357165,0.216200418,0.136505217,0.015937854,0.086519915,0.077074475,0.418404956,WAR,SQ,0,1,-1.430549,0.899666,-1.929272,1.081171,-0.262466,-0.362084,-0.330322,-0.579684,1.494698,-1.127154,1.695831,-1.571668,0.329247,0.280658,0.085865,0.308122
34,SPAIN,MOROCCO,230,600,1987,0,0,1,1,0.000888503,0.466654434,0.001011864,0.204992525,0.283466431,0.018040121,0.024946123,ACQ1,SQ,0,1,-0.650957,1.739509,-1.325596,1.476141,0.126808,0.809463,-0.473879,-0.811199,0.509614,-1.447359,0.020453,-1.843055,-0.264753,-0.581245,-1.149611,-0.951762
