Agent1,Agent2,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,groundtruth
CHN,BGR,-0.128499,-1.167184,0.965779,-0.056624,-1.646518,1.032684,-0.229387,-0.469054,0.236262,-0.954359,1.308849,0.042356,-1.51396,1.36544,-0.180854,-0.460654,SQ
PAK,GBR,-0.01113,-0.534186,0.513038,-0.09192,-1.111864,0.517739,-0.376059,-0.664898,-0.470525,-0.90501,0.000659,-0.27727,-1.211887,0.008373,-0.422994,-0.576433,SQ
BHR,SAU,-0.234797,-0.235736,-0.233859,-0.23557,-1.147607,-0.213166,-0.670814,-1.12675,-0.518034,-0.518875,-0.517194,-0.517342,-0.606866,-0.303056,-0.3472,-0.391195,SQ
URY,FRA,-0.745338,-1.895416,1.234274,0.318643,-2.187979,1.761554,0.699641,0.55336,0.725684,-1.690556,1.973695,-0.285255,-2.307039,2.259545,-0.307647,-0.615889,SQ
ESP,GBR,0.033176,-1.164326,1.212589,-1.013179,-2.100737,1.210479,-1.483494,-1.9517,0.076258,-1.141273,1.251522,1.063776,-1.219736,1.220949,0.993972,0.95474,SQ
RUS,xxx,0.460149,-0.947709,1.567627,0.076438,-1.540548,1.380272,-0.407337,-0.703756,0.503591,-0.920857,1.595523,-0.424117,-1.723454,1.504688,-0.916251,-1.317549,SQ
PER,GBR,-0.147283,-1.156767,0.922634,-0.913727,-2.039887,0.939849,-1.338073,-1.779633,-0.036449,-1.093738,1.036546,0.835332,-1.188192,1.169918,0.921477,0.87425,SQ
TUR,GRC,0.223105,0.222065,0.224145,0.224144,0.22175,0.00111,0.000952,0.000795,0.877233,0.876204,0.878262,0.876205,-0.123525,0.878201,0.37628,-0.123585,SQ
RUS,GRC,0.665081,-0.800667,1.68315,1.374026,-0.925122,1.100841,0.72949,0.667262,-0.044057,-1.216331,1.152014,-1.104911,-2.169286,1.120725,-1.612678,-2.089155,SQ
FRA,PRT,0.975513,-0.367245,1.76904,-0.199979,-1.288947,1.69266,-0.737211,-1.198062,0.084083,-1.012623,1.143463,0.366893,-1.372799,0.519306,-0.437352,-0.61744,SQ
ARG,DEU,0.054135,-1.037326,1.12154,-1.017926,-2.02834,1.121053,-1.513919,-2.009426,-0.133767,-1.146208,0.933548,0.916644,-1.154336,0.879853,0.858885,0.85482,SQ
BOL,CHN,0.58327,-0.94753,1.68174,-0.57241,-1.804859,1.598524,-1.08429,-1.512954,0.114582,-1.206049,1.361047,0.289917,-1.623302,1.021148,-0.258608,-0.467234,SQ
RUS,LUX,-0.466055,-1.681589,1.131385,0.474264,-1.915192,1.488568,0.714645,0.597843,0.912662,-1.199216,1.934546,-0.923773,-2.11132,1.97551,-1.338861,-1.794914,SQ
TZA,MWI,-0.753644,-1.44007,0.128236,0.037052,-1.498211,0.838062,0.717808,0.688737,-0.65083,-1.387602,0.26764,-0.31066,-1.736977,0.75798,0.004993,-0.169695,SQ
CHN,LSO,0.073854,-0.97947,1.09692,0.539576,-1.247889,1.04289,0.351336,0.217127,-0.020508,-1.037464,1.004532,-0.509793,-1.779055,0.985447,-0.899673,-1.270469,SQ
USA,SLB,-0.396803,-1.31074,0.667805,0.227527,-1.533266,0.976309,0.424768,0.313505,0.214963,-0.969371,1.292351,-0.341175,-1.69162,1.402563,-0.592086,-0.95321,SQ
SLV,ITA,0.207788,-0.955738,1.271364,-0.941367,-1.949285,1.270023,-1.439481,-1.936255,0.213173,-0.952388,1.276,1.256209,-0.961269,1.070057,1.045826,1.041386,SQ
TUR,ITA,-0.240068,-1.218382,0.83476,-0.963134,-2.094062,0.864606,-1.371129,-1.808968,0.272212,-0.919776,1.329312,1.043234,-1.046973,1.538844,1.189168,1.12557,SQ
TUR,DEU,-0.509832,-1.410961,0.595199,-1.10665,-2.259273,0.672534,-1.45347,-1.877625,0.576397,-0.81002,1.606683,1.238487,-0.962374,2.03884,1.594466,1.518289,SQ
HUN,JPN,0.379721,-0.834271,1.403883,0.145159,-1.396665,1.237715,-0.302206,-0.583403,-0.315335,-1.247432,0.735597,-0.159984,-1.699055,0.527367,-0.594026,-0.819837,SQ
BRA,RUS,-0.11099,-1.135302,0.959516,-1.112402,-2.12437,0.960729,-1.605723,-2.100257,-0.083956,-1.119939,0.987391,0.970372,-1.128015,1.097485,1.076428,1.072389,SQ
xxx,RUS,0.643456,-0.388359,1.446456,-0.160055,-1.26393,1.366391,-0.677905,-1.115691,0.305258,-0.655831,1.168326,0.528376,-1.006651,0.750607,-0.064752,-0.240162,SQ
CUB,DEU,-0.095638,-1.124608,0.973243,-1.114929,-2.119994,0.973684,-1.612181,-2.109874,0.009177,-1.063949,1.078299,1.069287,-1.068155,1.173534,1.162419,1.160316,SQ
GNQ,GBR,-0.147267,-1.145736,0.9102,-0.437668,-1.801334,0.960919,-0.714748,-1.042547,0.65323,-0.627143,1.588953,0.425595,-1.152101,1.658911,0.233074,-0.029405,SQ
IRQ,TUR,-0.493189,-1.786423,1.30207,0.603378,-2.012647,1.683687,0.871883,0.758771,0.907752,-1.440517,1.966886,-1.118218,-2.345929,2.013535,-1.524274,-1.976981,Cap2
ITA,GRC,0.545125,-0.817548,1.579671,1.094831,-1.019799,1.144798,0.558832,0.457707,0.109999,-1.084926,1.247106,-0.851062,-1.984643,1.192439,-1.355587,-1.805445,Cap2
GTM,DEU,0.047876,-1.068346,1.141744,-0.998192,-2.036603,1.140224,-1.483841,-1.96797,-0.105414,-1.155287,0.99062,0.927574,-1.184667,0.94415,0.866414,0.851724,Cap2
RUS,xxx,-0.444393,-0.510929,-0.377111,-0.45167,-1.068098,-0.180319,-0.533463,-0.812047,0.130765,0.051589,0.209643,0.141609,-0.378858,0.462749,0.179491,-0.035733,Cap2
MMR,THA,0.203613,-0.899122,1.218377,-0.258268,-1.596475,1.156754,-0.668567,-1.017243,-0.058298,-1.062202,0.968307,0.212266,-1.434542,0.840507,-0.101704,-0.287874,Cap2
AFG,PAK,0.237339,-1.038529,1.376889,-0.081345,-1.642248,1.282836,-0.477257,-0.779117,-0.072712,-1.208276,1.100024,0.016474,-1.677691,0.974095,-0.344162,-0.57887,Cap2
DEU,EST,0.172026,-0.466149,0.785198,0.678402,-0.551494,0.627854,0.478385,0.435712,0.294146,-0.363055,0.906526,-0.284533,-1.301206,0.895887,-0.764248,-1.233323,Cap2
VEN,GBR,-0.098901,-1.16353,1.01023,-1.137748,-2.151669,1.011403,-1.630644,-2.124714,-0.009409,-1.113778,1.099357,1.076098,-1.124287,1.197219,1.168705,1.163451,Cap2
RUS,GBR,0.244824,-1.084012,1.421333,-0.049527,-1.671101,1.320243,-0.444163,-0.737707,-0.063145,-1.245504,1.154308,-0.051699,-1.748046,1.032518,-0.424759,-0.67603,Cap2
CHN,GBR,0.426021,-0.953106,1.535457,-0.717584,-1.858464,1.495137,-1.210582,-1.663262,0.275553,-1.042138,1.426471,0.716813,-1.329611,1.122919,0.269525,0.125789,Cap2
NIC,CRI,0.675089,0.674033,0.676145,0.675279,0.264255,0.277692,0.071938,-0.132951,0.810763,0.809722,0.811803,0.810574,0.218772,0.535659,0.238954,-0.056522,Cap2
URY,JPN,-0.828427,-1.694881,0.46773,0.326525,-1.760175,1.242066,1.068215,1.035568,0.2953,-1.290458,1.622849,-0.61731,-2.059399,1.814265,-0.810364,-1.194834,Cap2
